Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,103.910004,103.919998,103.489998,103.599998,103.599998,113753
2019-12-19,103.720001,104.000000,103.489998,103.699997,103.699997,72246
2019-12-20,103.680000,103.980003,103.599998,103.639999,103.639999,84188
2019-12-23,103.639999,103.980003,103.599998,103.910004,103.910004,87629
2019-12-26,103.980003,104.300003,103.709999,104.139999,104.139999,109721
2019-12-27,104.300003,104.790001,103.620003,104.599998,104.599998,344313
2019-12-30,104.500000,105.779999,104.040001,105.750000,105.750000,74966
2020-01-02,105.500000,108.199997,104.699997,106.000000,106.000000,77912
2020-01-03,106.000000,106.500000,104.980003,106.500000,106.500000,82864
2020-01-06,106.500000,107.199997,105.750000,106.830002,106.830002,115107
2020-01-07,106.989998,107.199997,106.300003,106.980003,106.980003,59731
2020-01-08,106.980003,108.000000,105.970001,107.800003,107.800003,199075
2020-01-09,107.800003,107.809998,106.120003,107.360001,107.360001,84236
2020-01-10,107.400002,107.699997,106.900002,107.300003,107.300003,71356
2020-01-13,107.279999,107.980003,106.599998,107.000000,107.000000,65056
2020-01-14,107.000000,107.190002,106.150002,107.050003,107.050003,40884
2020-01-15,107.000000,107.010002,106.150002,106.519997,106.519997,103949
2020-01-16,106.269997,106.970001,106.000000,106.860001,106.860001,79434
2020-01-17,106.900002,106.980003,106.320000,106.900002,106.900002,53558
2020-01-20,106.900002,107.000000,106.180000,107.000000,107.000000,52726
2020-01-21,106.989998,107.000000,106.199997,106.690002,106.690002,41141
2020-01-22,106.790001,106.970001,106.120003,106.550003,106.550003,84094
2020-01-23,106.449997,106.699997,106.160004,106.500000,106.500000,52233
2020-01-24,106.500000,106.599998,106.330002,106.599998,106.599998,43783
2020-01-27,106.309998,106.500000,103.489998,105.000000,105.000000,60995
2020-01-28,104.010002,105.940002,104.010002,105.230003,105.230003,40765
2020-01-29,105.239998,105.489998,104.750000,104.760002,104.760002,35134
2020-01-30,104.769997,105.360001,104.500000,104.660004,104.660004,92094
2020-01-31,104.980003,105.290001,104.500000,104.629997,104.629997,44289
2020-02-03,104.589996,104.589996,103.110001,103.800003,103.800003,68298
2020-02-04,103.269997,104.440002,103.269997,103.989998,103.989998,66509
2020-02-05,103.510002,103.800003,102.760002,102.800003,102.800003,137993
2020-02-06,102.800003,103.379997,102.500000,102.900002,102.900002,121638
2020-02-07,103.000000,103.300003,102.900002,103.010002,103.010002,99264
2020-02-10,103.010002,103.199997,102.470001,102.769997,102.769997,138932
2020-02-11,102.769997,103.019997,102.559998,102.959999,102.959999,84283
2020-02-12,102.809998,103.000000,102.610001,102.690002,102.690002,144686
2020-02-13,102.769997,102.940002,102.610001,102.610001,102.610001,80401
2020-02-14,102.849998,103.570000,102.849998,103.010002,103.010002,82859
2020-02-17,103.150002,103.449997,102.900002,103.389999,103.389999,71119
2020-02-18,103.320000,103.379997,102.739998,102.739998,102.739998,67221
2020-02-19,102.930000,103.160004,102.699997,102.900002,102.900002,72502
2020-02-20,102.900002,103.300003,102.800003,103.000000,103.000000,45939
2020-02-21,103.260002,103.500000,103.010002,103.269997,103.269997,32302
2020-02-26,null,null,null,null,null,null
2020-02-27,102.800003,103.800003,102.699997,103.110001,103.110001,55522
2020-02-28,103.110001,104.150002,103.080002,103.800003,103.800003,48890
2020-03-02,103.379997,104.379997,100.550003,104.180000,104.180000,119465
2020-03-03,104.180000,104.190002,104.000000,104.000000,104.000000,74341
2020-03-04,104.000000,104.489998,104.000000,104.000000,104.000000,94368
2020-03-05,104.199997,104.440002,103.000000,104.050003,104.050003,94538
2020-03-06,104.000000,104.000000,102.750000,103.000000,103.000000,57301
2020-03-09,102.949997,103.000000,102.010002,102.199997,102.199997,108706
2020-03-10,102.010002,102.199997,101.720001,102.000000,102.000000,65117
2020-03-11,102.000000,102.500000,101.529999,101.529999,101.529999,59353
2020-03-12,101.500000,101.500000,97.000000,100.650002,100.650002,173762
2020-03-13,100.639999,100.639999,98.110001,99.000000,99.000000,93055
