Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,25.240000,25.540001,25.240000,25.469999,24.887938,16700
2019-12-19,25.450001,25.650000,25.450001,25.650000,25.063826,9700
2019-12-20,25.700001,25.850000,25.700001,25.750000,25.161539,20800
2019-12-23,25.799999,25.809999,25.580000,25.600000,25.014967,17400
2019-12-24,25.620001,25.709999,25.620001,25.670000,25.083368,6000
2019-12-26,25.719999,25.799999,25.700001,25.790001,25.200626,18200
2019-12-27,25.860001,25.910000,25.790001,25.910000,25.317883,25400
2019-12-30,25.850000,25.940001,25.799999,25.940001,25.347198,28600
2019-12-31,25.910000,26.139999,25.910000,26.120001,25.523087,81400
2020-01-02,26.230000,26.230000,25.580000,25.709999,25.122454,584700
2020-01-03,25.590000,26.000000,25.540001,25.990000,25.396055,132700
2020-01-06,25.930000,26.120001,25.900000,26.010000,25.415598,115300
2020-01-07,25.950001,25.950001,25.600000,25.760000,25.171310,126400
2020-01-08,25.770000,25.870001,25.680000,25.820000,25.229940,54100
2020-01-09,25.879999,25.879999,25.740000,25.790001,25.200626,224200
2020-01-10,25.820000,25.969999,25.820000,25.950001,25.356970,68200
2020-01-13,25.969999,26.250000,25.969999,26.250000,25.650114,44700
2020-01-14,26.190001,26.190001,26.010000,26.150000,25.552397,100000
2020-01-15,26.190001,26.430000,26.190001,26.360001,25.757601,620100
2020-01-16,26.410000,26.629999,26.410000,26.629999,26.021429,16200
2020-01-17,26.620001,26.750000,26.620001,26.650000,26.040972,11600
2020-01-21,26.760000,26.940001,26.680000,26.940001,26.324347,27600
2020-01-22,26.940001,27.020000,26.680000,26.719999,26.109371,52900
2020-01-23,26.700001,26.940001,26.650000,26.920000,26.304802,20500
2020-01-24,26.940001,27.000000,26.770000,26.850000,26.236401,16900
2020-01-27,26.719999,26.790001,26.639999,26.719999,26.109371,39200
2020-01-28,26.760000,26.900000,26.760000,26.809999,26.197315,21400
2020-01-29,26.889999,26.889999,26.760000,26.760000,26.148458,11800
2020-01-30,26.709999,26.820000,26.660000,26.730000,26.119143,11200
2020-01-31,26.750000,26.750000,26.379999,26.430000,25.826000,21500
2020-02-03,26.469999,26.700001,26.469999,26.480000,25.874857,11800
2020-02-04,26.629999,26.860001,26.629999,26.770000,26.158230,20900
2020-02-05,26.820000,26.860001,26.730000,26.750000,26.138687,10900
2020-02-06,26.879999,26.950001,26.629999,26.860001,26.246174,22600
2020-02-07,26.900000,26.930000,26.799999,26.840000,26.226629,11300
2020-02-10,26.990000,27.139999,26.969999,27.120001,26.500233,13400
2020-02-11,27.170000,27.250000,27.080000,27.129999,26.510000,10000
2020-02-12,27.190001,27.360001,27.110001,27.219999,26.597946,12100
2020-02-13,27.170000,27.480000,27.170000,27.410000,26.783604,16400
2020-02-14,27.440001,27.730000,27.440001,27.730000,27.096291,18100
2020-02-18,27.730000,27.780001,27.580000,27.770000,27.135378,87200
2020-02-19,27.790001,27.790001,27.340000,27.340000,26.715204,33500
2020-02-20,27.379999,27.730000,27.370001,27.730000,27.096291,48100
2020-02-21,27.730000,27.870001,27.730000,27.830000,27.194004,24600
2020-02-24,27.500000,27.670000,27.379999,27.469999,26.842232,38700
